term,legacy_term,week_code,week_number,cycle,start_date,end_date,source_file
Term 1 2026/27,Michaelmas Term,M1A,1,A,2026-08-24,2026-08-28,WCIB Academic Calendar 2026_27 Final(1).docx
Term 1 2026/27,Michaelmas Term,M2B,2,B,2026-08-31,2026-09-04,WCIB Academic Calendar 2026_27 Final(1).docx
Term 1 2026/27,Michaelmas Term,M3A,3,A,2026-09-07,2026-09-11,WCIB Academic Calendar 2026_27 Final(1).docx
Term 1 2026/27,Michaelmas Term,M4B,4,B,2026-09-14,2026-09-18,WCIB Academic Calendar 2026_27 Final(1).docx
Term 1 2026/27,Michaelmas Term,M5A,5,A,2026-09-21,2026-09-25,WCIB Academic Calendar 2026_27 Final(1).docx
Term 1 2026/27,Michaelmas Term,M6B,6,B,2026-09-28,2026-10-02,WCIB Academic Calendar 2026_27 Final(1).docx
Term 1 2026/27,Michaelmas Term,M7A,7,A,2026-10-05,2026-10-09,WCIB Academic Calendar 2026_27 Final(1).docx
Term 1 2026/27,Michaelmas Term,M8B,8,B,2026-10-12,2026-10-16,WCIB Academic Calendar 2026_27 Final(1).docx
Term 1 2026/27,Michaelmas Term,M9A,9,A,2026-10-26,2026-10-30,WCIB Academic Calendar 2026_27 Final(1).docx
Term 1 2026/27,Michaelmas Term,M10B,10,B,2026-11-02,2026-11-06,WCIB Academic Calendar 2026_27 Final(1).docx
Term 1 2026/27,Michaelmas Term,M11A,11,A,2026-11-09,2026-11-13,WCIB Academic Calendar 2026_27 Final(1).docx
Term 1 2026/27,Michaelmas Term,M12B,12,B,2026-11-16,2026-11-20,WCIB Academic Calendar 2026_27 Final(1).docx
Term 1 2026/27,Michaelmas Term,M13A,13,A,2026-11-23,2026-11-27,WCIB Academic Calendar 2026_27 Final(1).docx
Term 1 2026/27,Michaelmas Term,M14B,14,B,2026-11-30,2026-12-04,WCIB Academic Calendar 2026_27 Final(1).docx
Term 1 2026/27,Michaelmas Term,M15A,15,A,2026-12-07,2026-12-11,WCIB Academic Calendar 2026_27 Final(1).docx
Term 1 2026/27,Michaelmas Term,M16B,16,B,2026-12-14,2026-12-18,WCIB Academic Calendar 2026_27 Final(1).docx
Term 2 2026/27,Lent Term,L1A,1,A,2027-01-04,2027-01-08,WCIB Academic Calendar 2026_27 Final(1).docx
Term 2 2026/27,Lent Term,L2B,2,B,2027-01-11,2027-01-15,WCIB Academic Calendar 2026_27 Final(1).docx
Term 2 2026/27,Lent Term,L3A,3,A,2027-01-18,2027-01-22,WCIB Academic Calendar 2026_27 Final(1).docx
Term 2 2026/27,Lent Term,L4B,4,B,2027-01-25,2027-01-29,WCIB Academic Calendar 2026_27 Final(1).docx
Term 2 2026/27,Lent Term,L5A,5,A,2027-02-01,2027-02-05,WCIB Academic Calendar 2026_27 Final(1).docx
Term 2 2026/27,Lent Term,L6B,6,B,2027-02-08,2027-02-12,WCIB Academic Calendar 2026_27 Final(1).docx
Term 2 2026/27,Lent Term,L7A,7,A,2027-02-22,2027-02-26,WCIB Academic Calendar 2026_27 Final(1).docx
Term 2 2026/27,Lent Term,L8B,8,B,2027-03-01,2027-03-05,WCIB Academic Calendar 2026_27 Final(1).docx
Term 2 2026/27,Lent Term,L9A,9,A,2027-03-08,2027-03-12,WCIB Academic Calendar 2026_27 Final(1).docx
Term 2 2026/27,Lent Term,L10B,10,B,2027-03-15,2027-03-19,WCIB Academic Calendar 2026_27 Final(1).docx
Term 2 2026/27,Lent Term,L11A,11,A,2027-03-22,2027-03-26,WCIB Academic Calendar 2026_27 Final(1).docx
Term 2 2026/27,Lent Term,L12B,12,B,2027-03-29,2027-04-02,WCIB Academic Calendar 2026_27 Final(1).docx
Term 3 2026/27,Summer Term,S1A,1,A,2027-04-19,2027-04-23,WCIB Academic Calendar 2026_27 Final(1).docx
Term 3 2026/27,Summer Term,S2B,2,B,2027-04-26,2027-04-30,WCIB Academic Calendar 2026_27 Final(1).docx
Term 3 2026/27,Summer Term,S3A,3,A,2027-05-03,2027-05-07,WCIB Academic Calendar 2026_27 Final(1).docx
Term 3 2026/27,Summer Term,S4B,4,B,2027-05-10,2027-05-14,WCIB Academic Calendar 2026_27 Final(1).docx
Term 3 2026/27,Summer Term,S5A,5,A,2027-05-17,2027-05-21,WCIB Academic Calendar 2026_27 Final(1).docx
Term 3 2026/27,Summer Term,S6B,6,B,2027-05-24,2027-05-28,WCIB Academic Calendar 2026_27 Final(1).docx
Term 3 2026/27,Summer Term,S7A,7,A,2027-05-31,2027-06-04,WCIB Academic Calendar 2026_27 Final(1).docx
Term 3 2026/27,Summer Term,S8B,8,B,2027-06-07,2027-06-11,WCIB Academic Calendar 2026_27 Final(1).docx
Term 3 2026/27,Summer Term,S9A,9,A,2027-06-14,2027-06-18,WCIB Academic Calendar 2026_27 Final(1).docx
Term 3 2026/27,Summer Term,S10B,10,B,2027-06-21,2027-06-25,WCIB Academic Calendar 2026_27 Final(1).docx
Term 3 2026/27,Summer Term,S11A,11,A,2027-06-28,2027-07-02,WCIB Academic Calendar 2026_27 Final(1).docx
