id,week,dates,term,cycle,unit,unitName,lessonNo,lessonName,type,obj,alert
y10_001,M1A,24–28 Aug 2026,Michaelmas,A,0,Start of Year,,"Induction, routines, expectations and baseline diagnostic (1/2)",flex,"Set up routines, exercise books, calculator expectations and initial diagnostic tasks.",INSET Mon; Family Orientation Tue; Welcome Day Wed. First Year 10 Maths lessons Thu–Fri.
y10_002,M1A,24–28 Aug 2026,Michaelmas,A,0,Start of Year,,"Induction, routines, expectations and baseline diagnostic (2/2)",flex,"Baseline review, confidence check and target-setting.",
y10_003,M2B,31 Aug–4 Sep 2026,Michaelmas,B,1A,Unit 1A — Core Number and Accuracy,1A.1,1A.1 Rounding numbers and using a calculator,core,"Rounding, estimation and calculator fluency.","Yr 7, 10 & 12 CAT4 testing."
y10_004,M2B,31 Aug–4 Sep 2026,Michaelmas,B,1A,Unit 1A — Core Number and Accuracy,1A.2,1A.2 Prime factors,core,Prime factor decomposition and index notation.,
y10_005,M2B,31 Aug–4 Sep 2026,Michaelmas,B,1A,Unit 1A — Core Number and Accuracy,1A.3,1A.3 HCF and LCM,core,Highest common factor and lowest common multiple.,
y10_006,M3A,7–11 Sep 2026,Michaelmas,A,1A,Unit 1A — Core Number and Accuracy,1A.4,1A.4 Fractions 1 — operations and mixed numbers,core,Multiply and divide fractions and mixed numbers.,Exeter 1.
y10_007,M3A,7–11 Sep 2026,Michaelmas,A,1A,Unit 1A — Core Number and Accuracy,1A.5,1A.5 Fractions 2 — conversions and recurring decimals,core,"Fractions, decimals, percentages and recurring decimals.",
y10_008,M3A,7–11 Sep 2026,Michaelmas,A,1A,Unit 1A — Core Number and Accuracy,★,Unit 1A checkpoint quiz + feedback/bridge,assessment,Short checkpoint on Unit 1A content; remaining lesson for immediate feedback and bridge into next content.,
y10_009,M4B,14–18 Sep 2026,Michaelmas,B,1B,"Unit 1B — Percentages, Bounds and Applied Number",1B.1,1B.1 Standard form and estimation,core,Standard form calculations and estimation checks.,Year 7 Tutor & Teacher PTC.
y10_010,M4B,14–18 Sep 2026,Michaelmas,B,1B,"Unit 1B — Percentages, Bounds and Applied Number",1B.2,1B.2 Percentage change and multipliers,core,"Percentage increase, decrease and multipliers.",
