event_id,start_date,end_date,term,legacy_term,week_code,cycle,weekday,event,category,display_section,audience,priority,is_tbc,source_file,notes
de54d9da,2026-08-10,2026-08-10,Term 1 2026/27,Michaelmas Term,,,Monday,New staff arrival,Academic Key Date,Academic Key Dates,All staff / school,normal,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
c9abc2f6,2026-08-11,2026-08-11,Term 1 2026/27,Michaelmas Term,,,Tuesday,New staff HR Focused day,Academic Key Date,Academic Key Dates,All staff / school,normal,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
ef29234b,2026-08-12,2026-08-12,Term 1 2026/27,Michaelmas Term,,,Wednesday,School closed,School holiday,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
5c8204ae,2026-08-13,2026-08-13,Term 1 2026/27,Michaelmas Term,,,Thursday,New Staff induction,Staff training,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
99dc7e02,2026-08-14,2026-08-14,Term 1 2026/27,Michaelmas Term,,,Friday,New Staff induction,Staff training,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
580ba809,2026-08-17,2026-08-17,Term 1 2026/27,Michaelmas Term,,,Monday,New staff induction,Staff training,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
631a18f1,2026-08-17,2026-08-18,Term 1 2026/27,Michaelmas Term,,,,Foundational coaching,Staff training,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,Aggregated from 2 consecutive daily entries.
517a0421,2026-08-18,2026-08-18,Term 1 2026/27,Michaelmas Term,,,Tuesday,New staff induction,Staff training,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
087bf78e,2026-08-19,2026-08-21,Term 1 2026/27,Michaelmas Term,,,,INSET,INSET,Academic Key Dates,All staff / school,normal,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,Aggregated from 3 consecutive daily entries.
adf7f4d7,2026-08-20,2026-08-20,Term 1 2026/27,Michaelmas Term,,,Thursday,Exeter 0,Exeter,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
f7b884c8,2026-08-24,2026-08-24,Term 1 2026/27,Michaelmas Term,M1A,A,Monday,INSET,INSET,Academic Key Dates,All staff / school,normal,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
19ee654a,2026-08-25,2026-08-25,Term 1 2026/27,Michaelmas Term,M1A,A,Tuesday,Family orientation day,Term / orientation,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
bd735d66,2026-08-26,2026-08-26,Term 1 2026/27,Michaelmas Term,M1A,A,Wednesday,IGCSE Celebration,School event,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
2eae9de0,2026-08-26,2026-08-26,Term 1 2026/27,Michaelmas Term,M1A,A,Wednesday,Welcome day,Term / orientation,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
c01a3db7,2026-08-26,2026-12-16,Term 1 2026/27,Michaelmas Term,,,Wednesday,Michaelmas Term,Term / orientation,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,Summary term date
0be32891,2026-09-02,2026-09-02,Term 1 2026/27,Michaelmas Term,M2B,B,Wednesday,"Yr 7, 10 & 12 CAT4 testing",Testing,Academic Key Dates,Y7,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
6718906b,2026-09-10,2026-09-10,Term 1 2026/27,Michaelmas Term,M3A,A,Thursday,Exeter 1,Exeter,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
e624cd67,2026-09-11,2026-09-11,Term 1 2026/27,Michaelmas Term,M3A,A,Friday,External exam review documentation completion due date,Admin deadline,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
449276c2,2026-09-15,2026-09-15,Term 1 2026/27,Michaelmas Term,M4B,B,Tuesday,New staff lunch time workshop,Staff training,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
b1c3727f,2026-09-16,2026-09-16,Term 1 2026/27,Michaelmas Term,M4B,B,Wednesday,Yr 7 Tutor & Teacher PTC,Parent Teacher Conference,Academic Key Dates,Y7,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
a8eb548c,2026-09-21,2026-09-25,Term 1 2026/27,Michaelmas Term,M5A,A,,Yr 10 progress check,Progress check,Academic Key Dates,Y10,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,Aggregated from 5 consecutive daily entries.
